Code Commune;Nom Commune ;Zone ABC
01001;L'Abergement-Clémenciat;C
01002;L'Abergement-de-Varey;C
01004;Ambérieu-en-Bugey;B2
01005;Ambérieux-en-Dombes;C
01006;Ambléon;C
01007;Ambronay;C
01008;Ambutrix;C
01009;Andert-et-Condon;C
01010;Anglefort;C
01011;Apremont;C
01012;Aranc;C
01013;Arandas;C
01014;Arbent;C
01015;Arboys en Bugey;C
01016;Arbigny;C
01017;Argis;C
01019;Armix;C
01021;Ars-sur-Formans;B2
01022;Artemare;C
01023;Asnières-sur-Saône;C
01024;Attignat;C
01025;Bâgé-Dommartin;C
01026;Bâgé-le-Châtel;C
01027;Balan;B2
01028;Baneins;C
01029;Beaupont;C
01030;Beauregard;B2
01031;Bellignat;C
01032;Béligneux;B2
01033;Valserhône;B2
01034;Belley;C
01035;Belleydoux;C
01036;Valromey-sur-Séran;C
01037;Bénonces;C
01038;Bény;C
01039;Béon;C
01040;Béréziat;C
01041;Bettant;C
01042;Bey;C
01043;Beynost;B1
01044;Billiat;C
01045;Birieux;C
01046;Biziat;C
01047;Blyes;C
01049;La Boisse;B1
01050;Boissey;C
01051;Bolozon;C
01052;Bouligneux;C
01053;Bourg-en-Bresse;B2
01054;Bourg-Saint-Christophe;C
01056;Boyeux-Saint-Jérôme;C
01057;Boz;C
01058;Brégnier-Cordon;C
01060;Brénod;C
01061;Brens;C
01062;Bressolles;B2
01063;Brion;C
01064;Briord;C
01065;Buellas;C
01066;La Burbanche;C
01067;Ceignes;C
01068;Cerdon;C
01069;Certines;C
01071;Cessy;A
01072;Ceyzériat;C
01073;Ceyzérieu;C
01074;Chalamont;C
01075;Chaleins;C
01076;Chaley;C
01077;Challes-la-Montagne;C
01078;Challex;B1
01079;Champagne-en-Valromey;C
01080;Champdor-Corcelles;C
01081;Champfromier;C
01082;Chanay;C
01083;Chaneins;C
01084;Chanoz-Châtenay;C
01085;La Chapelle-du-Châtelard;C
01087;Charix;C
01088;Charnoz-sur-Ain;C
01089;Château-Gaillard;C
01090;Châtenay;C
01092;Châtillon-la-Palud;C
01093;Châtillon-sur-Chalaronne;C
01094;Chavannes-sur-Reyssouze;C
01095;Nivigne et Suran;C
01096;Chaveyriat;C
01098;Chazey-Bons;C
01099;Chazey-sur-Ain;C
01100;Cheignieu-la-Balme;C
01101;Chevillard;C
01102;Chevroux;C
01103;Chevry;B1
01104;Chézery-Forens;B2
01105;Civrieux;B2
01106;Cize;C
01107;Cleyzieu;C
01108;Coligny;C
01109;Collonges;A
01110;Colomieu;C
01111;Conand;C
01112;Condamine;C
01113;Condeissiat;C
01114;Confort;B2
01115;Confrançon;C
01116;Contrevoz;C
01117;Conzieu;C
01118;Corbonod;C
01121;Corlier;C
01123;Cormoranche-sur-Saône;C
01124;Cormoz;C
01125;Corveissiat;C
01127;Courmangoux;C
01128;Courtes;C
01129;Crans;C
01130;Bresse Vallons;C
01133;Cressin-Rochefort;C
01134;Crottet;C
01135;Crozet;B1
01136;Cruzilles-lès-Mépillat;C
01138;Culoz;C
01139;Curciat-Dongalon;C
01140;Curtafond;C
01141;Cuzieu;C
01142;Dagneux;B1
01143;Divonne-les-Bains;A
01145;Dompierre-sur-Veyle;C
01146;Dompierre-sur-Chalaronne;C
01147;Domsure;C
01148;Dortan;C
01149;Douvres;C
01150;Drom;C
01151;Druillat;C
01152;Échallon;C
01153;Échenevex;B1
01155;Évosges;C
01156;Faramans;C
01157;Fareins;C
01158;Farges;B1
01159;Feillens;C
01160;Ferney-Voltaire;A
01162;Flaxieu;C
01163;Foissiat;C
01165;Francheleins;C
01166;Frans;B2
01167;Garnerans;C
01169;Genouilleux;C
01170;Béard-Géovreissiat;C
01171;Géovreisset;C
01173;Gex;A
01174;Giron;C
01175;Gorrevod;C
01177;Grand-Corent;C
01179;Grièges;C
01180;Grilly;B1
01181;Groissiat;C
01183;Guéreins;C
01184;Hautecourt-Romanèche;C
01185;Plateau d'Hauteville;C
01187;Haut Valromey;C
01188;Illiat;C
01189;Injoux-Génissiat;C
01190;Innimond;C
01191;Izenave;C
01192;Izernore;C
01193;Izieu;C
01194;Jassans-Riottier;B1
01195;Jasseron;C
01196;Jayat;C
01197;Journans;C
01198;Joyeux;C
01199;Jujurieux;C
01200;Labalme;C
01202;Lagnieu;C
01203;Laiz;C
01204;Le Poizat-Lalleyriat;C
01206;Lantenay;C
01207;Lapeyrouse;C
01208;Lavours;C
01209;Léaz;B1
01210;Lélex;B2
01211;Lent;C
01212;Lescheroux;C
01213;Leyment;C
01214;Leyssard;C
01215;Surjoux-Lhopital;C
01216;Lhuis;C
01219;Lompnas;C
01224;Loyettes;C
01225;Lurcy;C
01227;Magnieu;C
01228;Maillat;C
01229;Malafretaz;C
01230;Mantenay-Montlin;C
01231;Manziat;C
01232;Marboz;C
01233;Marchamp;C
01234;Marignieu;C
01235;Marlieux;C
01236;Marsonnas;C
01237;Martignat;C
